condition,symptom,probability
Intestinal malabsorption,irritable_infant,33.0
Intestinal malabsorption,nasal_congestion,27.0
Intestinal malabsorption,sharp_abdominal_pain,43.0
Intestinal malabsorption,vomiting,51.0
Intestinal obstruction,burning_abdominal_pain,43.0
Intestinal obstruction,constipation,90.0
Intestinal obstruction,diarrhea,52.0
Intestinal obstruction,incontinence_of_stool,9.0
Intestinal obstruction,nausea,52.0
Intestinal obstruction,pain_of_the_anus,34.0
Intestinal obstruction,retention_of_urine,46.0
Intestinal obstruction,sharp_abdominal_pain,80.0
Intestinal obstruction,stomach_bloating,17.0
Intestinal obstruction,vaginal_itching,9.0
Intestinal obstruction,vomiting,49.0
Intestinal obstruction,vomiting_blood,9.0
Intracerebral hemorrhage,blindness,9.0
Intracerebral hemorrhage,depressive_or_psychotic_symptoms,32.0
Intracerebral hemorrhage,diminished_vision,16.0
Intracerebral hemorrhage,dizziness,57.0
Intracerebral hemorrhage,focal_weakness,50.0
Intracerebral hemorrhage,headache,63.0
Intracerebral hemorrhage,nausea,44.0
Intracerebral hemorrhage,problems_with_movement,16.0
Intracerebral hemorrhage,seizures,28.0
Intracerebral hemorrhage,slurring_words,16.0
Intracerebral hemorrhage,vomiting,37.0
Intracerebral hemorrhage,weakness,53.0
Intracranial abscess,back_pain,58.0
Intracranial abscess,depressive_or_psychotic_symptoms,40.0
Intracranial abscess,fatigue,40.0
Intracranial abscess,fever,58.0
Intracranial abscess,headache,58.0
Intracranial abscess,leg_pain,40.0
Intracranial abscess,low_back_pain,58.0
Intracranial abscess,neck_pain,40.0
Intracranial abscess,seizures,68.0
Intracranial abscess,sharp_chest_pain,40.0
Intracranial abscess,slurring_words,40.0
Intracranial abscess,weakness,40.0
Intracranial hemorrhage,abnormal_involuntary_movements,19.0
Intracranial hemorrhage,depressive_or_psychotic_symptoms,32.0
Intracranial hemorrhage,difficulty_speaking,12.0
Intracranial hemorrhage,diminished_vision,16.0
Intracranial hemorrhage,disturbance_of_memory,32.0
Intracranial hemorrhage,dizziness,30.0
Intracranial hemorrhage,headache,63.0
Intracranial hemorrhage,joint_pain,19.0
Intracranial hemorrhage,problems_with_movement,32.0
Intracranial hemorrhage,seizures,27.0
Intracranial hemorrhage,vomiting,25.0
Intracranial hemorrhage,weakness,25.0
Intussusception,blood_in_stool,51.0
Intussusception,constipation,51.0
Intussusception,cross_eyed,4.0
Intussusception,diarrhea,51.0
Intussusception,emotional_symptoms,4.0
Intussusception,excessive_growth,4.0
Intussusception,itchy_eyelid,4.0
Intussusception,nausea,51.0
Intussusception,regurgitation,51.0
Intussusception,sharp_abdominal_pain,85.0
Intussusception,upper_abdominal_pain,51.0
Intussusception,vomiting,51.0
Iridocyclitis,cloudy_eye,4.0
Iridocyclitis,diminished_vision,67.0
Iridocyclitis,eye_burns_or_stings,8.0
Iridocyclitis,eye_redness,63.0
Iridocyclitis,foreign_body_sensation_in_eye,15.0
Iridocyclitis,headache,27.0
Iridocyclitis,itchiness_of_eye,15.0
Iridocyclitis,lacrimation,21.0
Iridocyclitis,pain_in_eye,76.0
Iridocyclitis,spots_or_clouds_in_vision,27.0
Iridocyclitis,swollen_eye,21.0
Iridocyclitis,symptoms_of_eye,24.0
Iron deficiency anemia,absence_of_menstruation,3.0
Iron deficiency anemia,blood_in_stool,9.0
Iron deficiency anemia,dizziness,25.0
Iron deficiency anemia,fatigue,39.0
Iron deficiency anemia,heartburn,6.0
Iron deficiency anemia,heavy_menstrual_flow,15.0
Iron deficiency anemia,intermenstrual_bleeding,3.0
Iron deficiency anemia,melena,6.0
Iron deficiency anemia,rectal_bleeding,13.0
Iron deficiency anemia,regurgitation,5.0
Iron deficiency anemia,weakness,28.0
Iron deficiency anemia,weight_gain,8.0
Irritable bowel syndrome,anxiety_and_nervousness,28.0
Irritable bowel syndrome,burning_abdominal_pain,38.0
Irritable bowel syndrome,constipation,32.0
Irritable bowel syndrome,diarrhea,63.0
Irritable bowel syndrome,flatulence,13.0
Irritable bowel syndrome,insomnia,15.0
Irritable bowel syndrome,lower_abdominal_pain,24.0
Irritable bowel syndrome,nausea,32.0
Irritable bowel syndrome,rectal_bleeding,13.0
Irritable bowel syndrome,regurgitation,15.0
Irritable bowel syndrome,sharp_abdominal_pain,73.0
Irritable bowel syndrome,upper_abdominal_pain,20.0
Ischemia of the bowel,blood_in_stool,43.0
Ischemia of the bowel,burning_abdominal_pain,27.0
Ischemia of the bowel,chills,16.0
Ischemia of the bowel,constipation,36.0
Ischemia of the bowel,diarrhea,62.0
Ischemia of the bowel,lower_abdominal_pain,43.0
Ischemia of the bowel,melena,27.0
Ischemia of the bowel,nausea,49.0
Ischemia of the bowel,rectal_bleeding,49.0
Ischemia of the bowel,retention_of_urine,16.0
Ischemia of the bowel,sharp_abdominal_pain,84.0
Ischemia of the bowel,vomiting,62.0
Ischemic heart disease,chest_tightness,26.0
Ischemic heart disease,difficulty_breathing,32.0
Ischemic heart disease,dizziness,28.0
Ischemic heart disease,fatigue,27.0
Ischemic heart disease,increased_heart_rate,5.0
Ischemic heart disease,lymphedema,8.0
Ischemic heart disease,muscle_pain,5.0
Ischemic heart disease,palpitations,31.0
Ischemic heart disease,peripheral_edema,13.0
Ischemic heart disease,sharp_chest_pain,57.0
Ischemic heart disease,shortness_of_breath,48.0
Ischemic heart disease,throat_feels_tight,3.0
Itching of unknown cause,abnormal_appearing_skin,23.0
Itching of unknown cause,allergic_reaction,32.0
Itching of unknown cause,fluid_retention,8.0
Itching of unknown cause,itching_of_skin,86.0
Itching of unknown cause,itchy_scalp,15.0
Itching of unknown cause,paresthesia,13.0
Itching of unknown cause,problems_during_pregnancy,11.0
Itching of unknown cause,skin_dryness_peeling_scaliness_or_roughness,17.0
Itching of unknown cause,skin_irritation,11.0
Itching of unknown cause,skin_rash,78.0
Itching of unknown cause,sneezing,8.0
Itching of unknown cause,vaginal_itching,13.0
Jaw disorder,difficulty_in_swallowing,10.0
Jaw disorder,facial_pain,81.0
Jaw disorder,gum_pain,38.0
Jaw disorder,headache,33.0
Jaw disorder,jaw_pain,10.0
Jaw disorder,jaw_swelling,38.0
Jaw disorder,mouth_pain,25.0
Jaw disorder,neck_mass,13.0
Jaw disorder,pain_in_gums,10.0
Jaw disorder,peripheral_edema,29.0
Jaw disorder,symptoms_of_the_face,13.0
Jaw disorder,toothache,86.0
Joint effusion,ankle_pain,35.0
Joint effusion,ankle_swelling,23.0
Joint effusion,elbow_pain,18.0
Joint effusion,elbow_swelling,14.0
Joint effusion,foot_or_toe_swelling,13.0
Joint effusion,knee_pain,86.0
Joint effusion,knee_stiffness_or_tightness,13.0
Joint effusion,knee_swelling,64.0
Joint effusion,leg_swelling,14.0
Joint effusion,problems_with_movement,10.0
Joint effusion,wrist_pain,14.0
Joint effusion,wrist_swelling,11.0
Juvenile rheumatoid arthritis,ankle_pain,19.0
Juvenile rheumatoid arthritis,ankle_swelling,10.0
Juvenile rheumatoid arthritis,back_pain,26.0
Juvenile rheumatoid arthritis,bones_are_painful,10.0
Juvenile rheumatoid arthritis,hand_or_finger_pain,19.0
Juvenile rheumatoid arthritis,hand_or_finger_swelling,19.0
Juvenile rheumatoid arthritis,joint_pain,37.0
Juvenile rheumatoid arthritis,knee_pain,52.0
Juvenile rheumatoid arthritis,knee_swelling,10.0
Juvenile rheumatoid arthritis,pelvic_pain,10.0
Juvenile rheumatoid arthritis,problems_with_movement,10.0
Juvenile rheumatoid arthritis,wrist_swelling,10.0
Kaposi sarcoma,cough,45.0
Kaposi sarcoma,depression,45.0
Kaposi sarcoma,elbow_cramps_or_spasms,3.0
Kaposi sarcoma,elbow_weakness,3.0
Kaposi sarcoma,excessive_growth,3.0
Kaposi sarcoma,foot_or_toe_pain,45.0
Kaposi sarcoma,leg_pain,45.0
Kaposi sarcoma,lip_swelling,45.0
Kaposi sarcoma,low_back_weakness,3.0
Kaposi sarcoma,sharp_abdominal_pain,45.0
Kaposi sarcoma,skin_lesion,45.0
Kaposi sarcoma,underweight,3.0
Kidney cancer,bedwetting,4.0
Kidney cancer,blood_in_urine,10.0
Kidney cancer,changes_in_stool_appearance,4.0
Kidney cancer,drainage_in_throat,4.0
Kidney cancer,excessive_urination_at_night,7.0
Kidney cancer,groin_mass,4.0
Kidney cancer,increased_heart_rate,4.0
Kidney cancer,involuntary_urination,7.0
Kidney cancer,kidney_mass,35.0
Kidney cancer,retention_of_urine,13.0
Kidney cancer,symptoms_of_prostate,7.0
Kidney cancer,symptoms_of_the_kidneys,10.0
Kidney disease due to longstanding hypertension,difficulty_speaking,3.0
Kidney disease due to longstanding hypertension,excessive_appetite,2.0
Kidney disease due to longstanding hypertension,feeling_cold,2.0
Kidney disease due to longstanding hypertension,foot_or_toe_cramps_or_spasms,2.0
Kidney disease due to longstanding hypertension,incontinence_of_stool,2.0
Kidney disease due to longstanding hypertension,polyuria,2.0
Kidney disease due to longstanding hypertension,shortness_of_breath,31.0
Kidney disease due to longstanding hypertension,stuttering_or_stammering,2.0
Kidney disease due to longstanding hypertension,symptoms_of_the_kidneys,24.0
Kidney disease due to longstanding hypertension,too_little_hair,2.0
Kidney disease due to longstanding hypertension,unusual_color_or_odor_to_urine,2.0
Kidney failure,arm_swelling,9.0
Kidney failure,leg_swelling,8.0
Kidney failure,leg_weakness,3.0
Kidney failure,lymphedema,3.0
Kidney failure,muscle_cramps_contractures_or_spasms,3.0
Kidney failure,nausea,26.0
Kidney failure,sharp_chest_pain,25.0
Kidney failure,shortness_of_breath,43.0
Kidney failure,swollen_abdomen,3.0
Kidney failure,symptoms_of_the_kidneys,11.0
Kidney failure,vomiting,24.0
Kidney failure,weakness,25.0
Kidney stone,back_pain,51.0
Kidney stone,blood_in_urine,37.0
Kidney stone,frequent_urination,19.0
Kidney stone,low_back_pain,26.0
Kidney stone,lower_abdominal_pain,35.0
Kidney stone,nausea,42.0
Kidney stone,painful_urination,20.0
Kidney stone,retention_of_urine,17.0
Kidney stone,sharp_abdominal_pain,62.0
Kidney stone,side_pain,80.0
Kidney stone,suprapubic_pain,14.0
Kidney stone,vomiting,42.0
Knee ligament or meniscus tear,foot_or_toe_cramps_or_spasms,1.0
Knee ligament or meniscus tear,joint_swelling,1.0
Knee ligament or meniscus tear,knee_cramps_or_spasms,1.0
Knee ligament or meniscus tear,knee_lump_or_mass,1.0
Knee ligament or meniscus tear,knee_pain,93.0
Knee ligament or meniscus tear,knee_stiffness_or_tightness,22.0
Knee ligament or meniscus tear,knee_swelling,31.0
Knee ligament or meniscus tear,knee_weakness,8.0
Knee ligament or meniscus tear,leg_stiffness_or_tightness,4.0
Knee ligament or meniscus tear,leg_weakness,3.0
Knee ligament or meniscus tear,stiffness_all_over,1.0
Labyrinthitis,diminished_hearing,21.0
Labyrinthitis,dizziness,97.0
Labyrinthitis,ear_pain,33.0
Labyrinthitis,headache,49.0
Labyrinthitis,loss_of_sensation,24.0
Labyrinthitis,nausea,66.0
Labyrinthitis,plugged_feeling_in_ear,18.0
Labyrinthitis,ringing_in_ear,21.0
Labyrinthitis,spots_or_clouds_in_vision,4.0
Labyrinthitis,sweating,8.0
Labyrinthitis,vomiting,61.0
Labyrinthitis,weakness,33.0
Lactose intolerance,burning_abdominal_pain,42.0
Lactose intolerance,constipation,19.0
Lactose intolerance,cramps_and_spasms,11.0
Lactose intolerance,diarrhea,56.0
Lactose intolerance,flatulence,19.0
Lactose intolerance,headache,33.0
Lactose intolerance,impotence,11.0
Lactose intolerance,muscle_pain,19.0
Lactose intolerance,nasal_congestion,33.0
Lactose intolerance,sharp_abdominal_pain,33.0
Lactose intolerance,shortness_of_breath,26.0
Lactose intolerance,weight_gain,11.0
Laryngitis,allergic_reaction,16.0
Laryngitis,coryza,37.0
Laryngitis,cough,79.0
Laryngitis,difficulty_in_swallowing,19.0
Laryngitis,difficulty_speaking,12.0
Laryngitis,ear_pain,32.0
Laryngitis,fever,39.0
Laryngitis,hoarse_voice,83.0
Laryngitis,nasal_congestion,55.0
Laryngitis,sinus_congestion,12.0
Laryngitis,sore_throat,87.0
Laryngitis,throat_feels_tight,16.0
Lateral epicondylitis (tennis elbow),arm_pain,53.0
Lateral epicondylitis (tennis elbow),elbow_lump_or_mass,8.0
Lateral epicondylitis (tennis elbow),elbow_pain,92.0
Lateral epicondylitis (tennis elbow),elbow_swelling,8.0
Lateral epicondylitis (tennis elbow),hand_or_finger_pain,21.0
Lateral epicondylitis (tennis elbow),hand_or_finger_stiffness_or_tightness,4.0
Lateral epicondylitis (tennis elbow),irregular_belly_button,4.0
Lateral epicondylitis (tennis elbow),joint_pain,8.0
Lateral epicondylitis (tennis elbow),loss_of_sensation,37.0
Lateral epicondylitis (tennis elbow),paresthesia,21.0
Lateral epicondylitis (tennis elbow),shoulder_pain,38.0
Lateral epicondylitis (tennis elbow),wrist_pain,33.0
Lead poisoning,ankle_pain,91.0
Lead poisoning,excessive_anger,91.0
Lead poisoning,excessive_urination_at_night,91.0
Lead poisoning,facial_pain,91.0
Lead poisoning,fatigue,91.0
Lead poisoning,joint_stiffness_or_tightness,91.0
Lead poisoning,knee_lump_or_mass,91.0
Lead poisoning,pain_during_pregnancy,91.0
Lead poisoning,pain_in_eye,91.0
Lead poisoning,pain_or_soreness_of_breast,91.0
Lead poisoning,shoulder_cramps_or_spasms,91.0
Lead poisoning,wrist_pain,91.0
Leishmaniasis,ankle_pain,91.0
Leishmaniasis,excessive_anger,91.0
Leishmaniasis,excessive_urination_at_night,91.0
Leishmaniasis,facial_pain,91.0
Leishmaniasis,fatigue,91.0
Leishmaniasis,joint_stiffness_or_tightness,91.0
Leishmaniasis,knee_lump_or_mass,91.0
Leishmaniasis,pain_during_pregnancy,91.0
Leishmaniasis,pain_in_eye,91.0
Leishmaniasis,pain_or_soreness_of_breast,91.0
Leishmaniasis,shoulder_cramps_or_spasms,91.0
Leishmaniasis,wrist_pain,91.0
Leptospirosis,ankle_pain,91.0
Leptospirosis,excessive_anger,91.0
Leptospirosis,excessive_urination_at_night,91.0
Leptospirosis,facial_pain,91.0
Leptospirosis,fatigue,91.0
Leptospirosis,joint_stiffness_or_tightness,91.0
Leptospirosis,knee_lump_or_mass,91.0
Leptospirosis,pain_during_pregnancy,91.0
Leptospirosis,pain_in_eye,91.0
Leptospirosis,pain_or_soreness_of_breast,91.0
Leptospirosis,shoulder_cramps_or_spasms,91.0
Leptospirosis,wrist_pain,91.0
Leukemia,bleeding_gums,1.0
Leukemia,fatigue,26.0
Leukemia,fever,25.0
Leukemia,mouth_pain,3.0
Leukemia,muscle_stiffness_or_tightness,1.0
Leukemia,pallor,1.0
Leukemia,symptoms_of_the_kidneys,1.0
Lewy body dementia,abnormal_involuntary_movements,53.0
Lewy body dementia,delusions_or_hallucinations,59.0
Lewy body dementia,depressive_or_psychotic_symptoms,35.0
Lewy body dementia,disturbance_of_memory,68.0
Lewy body dementia,dizziness,35.0
Lewy body dementia,hostile_behavior,21.0
Lewy body dementia,loss_of_sensation,35.0
Lewy body dementia,paresthesia,21.0
Lewy body dementia,problems_with_movement,53.0
Lewy body dementia,rectal_bleeding,21.0
Lewy body dementia,seizures,21.0
Lewy body dementia,weakness,21.0
Lice,cough,39.0
Lice,fever,24.0
Lice,itching_of_skin,32.0
Lice,itchy_scalp,49.0
Lice,leg_lump_or_mass,14.0
Lice,nasal_congestion,24.0
Lice,skin_lesion,24.0
Lice,skin_oiliness,14.0
Lice,skin_rash,49.0
Lice,smoking_problems,24.0
Lice,sneezing,14.0
Lice,warts,24.0
Lichen planus,abnormal_appearing_skin,47.0
Lichen planus,acne_or_pimples,23.0
Lichen planus,difficulty_speaking,23.0
Lichen planus,irregular_appearing_scalp,23.0
Lichen planus,itching_of_skin,47.0
Lichen planus,itchy_scalp,23.0
Lichen planus,mouth_ulcer,23.0
Lichen planus,skin_dryness_peeling_scaliness_or_roughness,37.0
Lichen planus,skin_growth,37.0
Lichen planus,skin_lesion,23.0
Lichen planus,skin_moles,37.0
Lichen planus,skin_rash,47.0
Lichen simplex,acne_or_pimples,22.0
Lichen simplex,difficulty_speaking,12.0
Lichen simplex,itching_of_skin,71.0
Lichen simplex,itchy_scalp,22.0
Lichen simplex,loss_of_sex_drive,12.0
Lichen simplex,pain_during_intercourse,12.0
Lichen simplex,skin_dryness_peeling_scaliness_or_roughness,12.0
Lichen simplex,skin_growth,22.0
Lichen simplex,skin_irritation,22.0
Lichen simplex,skin_lesion,47.0
Lichen simplex,skin_rash,82.0
Lichen simplex,vaginal_itching,22.0
Lipoma,abnormal_appearing_skin,21.0
Lipoma,arm_lump_or_mass,35.0
Lipoma,back_mass_or_lump,37.0
Lipoma,bones_are_painful,16.0
Lipoma,groin_mass,17.0
Lipoma,leg_lump_or_mass,17.0
Lipoma,lump_or_mass_of_breast,16.0
Lipoma,neck_mass,31.0
Lipoma,shoulder_lump_or_mass,26.0
Lipoma,skin_growth,24.0
Lipoma,skin_lesion,23.0
Lipoma,skin_swelling,47.0
Liver cancer,changes_in_stool_appearance,9.0
Liver cancer,decreased_appetite,9.0
Liver cancer,groin_mass,5.0
Liver cancer,increased_heart_rate,5.0
Liver cancer,kidney_mass,5.0
Liver cancer,leg_stiffness_or_tightness,5.0
Liver cancer,sharp_abdominal_pain,33.0
Liver cancer,stomach_bloating,13.0
Liver cancer,swollen_abdomen,5.0
Liver cancer,symptoms_of_prostate,5.0
Liver cancer,unusual_color_or_odor_to_urine,5.0
Liver cancer,upper_abdominal_pain,31.0
Liver disease,blood_in_stool,12.0
Liver disease,diarrhea,27.0
Liver disease,heartburn,7.0
Liver disease,jaundice,38.0
Liver disease,nausea,24.0
Liver disease,peripheral_edema,17.0
Liver disease,sharp_abdominal_pain,53.0
Liver disease,shortness_of_breath,26.0
Liver disease,side_pain,19.0
Liver disease,unusual_color_or_odor_to_urine,10.0
Liver disease,upper_abdominal_pain,30.0
Liver disease,weakness,23.0
Lumbago,back_cramps_or_spasms,3.0
Lumbago,back_pain,84.0
Lumbago,hip_pain,28.0
Lumbago,leg_pain,48.0
Lumbago,low_back_cramps_or_spasms,1.0
Lumbago,low_back_pain,85.0
Lumbago,low_back_stiffness_or_tightness,1.0
Lumbago,lower_body_pain,19.0
Lumbago,muscle_pain,3.0
Lumbago,neck_pain,28.0
Lumbago,side_pain,19.0
Lung cancer,cough,30.0
Lung cancer,decreased_appetite,14.0
Lung cancer,drainage_in_throat,6.0
Lung cancer,fatigue,24.0
Lung cancer,hemoptysis,6.0
Lung cancer,leg_weakness,4.0
Lung cancer,shortness_of_breath,44.0
Lung cancer,smoking_problems,2.0
Lung contusion,ache_all_over,44.0
Lung contusion,back_pain,63.0
Lung contusion,dizziness,28.0
Lung contusion,elbow_pain,28.0
Lung contusion,fluid_retention,28.0
Lung contusion,headache,28.0
Lung contusion,hip_pain,28.0
Lung contusion,hurts_to_breath,28.0
Lung contusion,rib_pain,44.0
Lung contusion,sharp_chest_pain,55.0
Lung contusion,shortness_of_breath,28.0
Lung contusion,shoulder_pain,28.0
Lyme disease,abnormal_appearing_skin,37.0
Lyme disease,chills,19.0
Lyme disease,depressive_or_psychotic_symptoms,26.0
Lyme disease,fatigue,42.0
Lyme disease,fever,49.0
Lyme disease,hand_or_finger_pain,19.0
Lyme disease,headache,46.0
Lyme disease,hip_pain,19.0
Lyme disease,joint_pain,19.0
Lyme disease,loss_of_sensation,26.0
Lyme disease,skin_rash,46.0
Lyme disease,symptoms_of_the_face,10.0
Lymphadenitis,cough,32.0
Lymphadenitis,ear_pain,36.0
Lymphadenitis,fever,55.0
Lymphadenitis,headache,32.0
Lymphadenitis,neck_mass,43.0
Lymphadenitis,neck_pain,50.0
Lymphadenitis,neck_swelling,40.0
Lymphadenitis,sharp_abdominal_pain,53.0
Lymphadenitis,skin_swelling,26.0
Lymphadenitis,sore_throat,60.0
Lymphadenitis,swollen_lymph_nodes,53.0
Lymphadenitis,vomiting,32.0
Lymphangitis,abnormal_appearing_skin,34.0
Lymphangitis,arm_pain,34.0
Lymphangitis,facial_pain,34.0
Lymphangitis,flu_like_syndrome,34.0
Lymphangitis,foot_or_toe_lump_or_mass,34.0
Lymphangitis,foot_or_toe_pain,34.0
Lymphangitis,neck_pain,34.0
Lymphangitis,neck_swelling,52.0
Lymphangitis,skin_irritation,34.0
Lymphangitis,skin_on_arm_or_hand_looks_infected,52.0
Lymphangitis,skin_on_head_or_neck_looks_infected,34.0
Lymphangitis,skin_on_leg_or_foot_looks_infected,52.0
Lymphedema,abnormal_appearing_skin,25.0
Lymphedema,fluid_retention,17.0
Lymphedema,foot_or_toe_swelling,8.0
Lymphedema,leg_pain,37.0
Lymphedema,leg_swelling,49.0
Lymphedema,lymphedema,11.0
Lymphedema,neck_mass,4.0
Lymphedema,peripheral_edema,45.0
Lymphedema,skin_dryness_peeling_scaliness_or_roughness,8.0
Lymphedema,skin_lesion,56.0
Lymphedema,skin_on_leg_or_foot_looks_infected,11.0
Lymphedema,throat_swelling,4.0
Lymphogranuloma venereum,chills,91.0
Lymphogranuloma venereum,ear_pain,91.0
Lymphogranuloma venereum,excessive_growth,20.0
Lymphogranuloma venereum,fever,91.0
Lymphogranuloma venereum,knee_lump_or_mass,20.0
Lymphogranuloma venereum,loss_of_sex_drive,20.0
Lymphogranuloma venereum,neck_cramps_or_spasms,20.0
Lymphogranuloma venereum,nosebleed,91.0
Lymphogranuloma venereum,pelvic_pressure,20.0
Lymphogranuloma venereum,shoulder_swelling,20.0
Lymphogranuloma venereum,sore_throat,100.0
Lymphogranuloma venereum,vulvar_sore,20.0
Lymphoma,fatigue,24.0
Lymphoma,groin_mass,2.0
Lymphoma,hoarse_voice,3.0
Lymphoma,itchy_ears,1.0
Lymphoma,mouth_pain,2.0
Lymphoma,mouth_ulcer,2.0
Lymphoma,muscle_pain,3.0
Lymphoma,neck_mass,5.0
Lymphoma,regurgitation,4.0
Lymphoma,shoulder_lump_or_mass,1.0
Lymphoma,stiffness_all_over,1.0
Lymphoma,symptoms_of_the_kidneys,2.0
Macular degeneration,abnormal_movement_of_eyelid,3.0
Macular degeneration,bleeding_from_eye,6.0
Macular degeneration,blindness,13.0
Macular degeneration,diminished_vision,80.0
Macular degeneration,double_vision,8.0
Macular degeneration,eye_burns_or_stings,8.0
Macular degeneration,foreign_body_sensation_in_eye,11.0
Macular degeneration,itchiness_of_eye,12.0
Macular degeneration,lacrimation,15.0
Macular degeneration,pain_in_eye,18.0
Macular degeneration,spots_or_clouds_in_vision,45.0
Macular degeneration,symptoms_of_eye,25.0
Magnesium deficiency,diarrhea,27.0
Magnesium deficiency,dizziness,49.0
Magnesium deficiency,leg_cramps_or_spasms,27.0
Magnesium deficiency,leg_pain,43.0
Magnesium deficiency,nausea,27.0
Magnesium deficiency,palpitations,36.0
Magnesium deficiency,seizures,36.0
Magnesium deficiency,sharp_abdominal_pain,49.0
Magnesium deficiency,sharp_chest_pain,36.0
Magnesium deficiency,shortness_of_breath,27.0
Magnesium deficiency,vomiting,36.0
Magnesium deficiency,weakness,36.0
Malaria,ache_all_over,72.0
Malaria,back_pain,72.0
Malaria,excessive_growth,9.0
Malaria,fainting,72.0
Malaria,fever,87.0
Malaria,headache,94.0
Malaria,itchy_eyelid,9.0
Malaria,knee_lump_or_mass,9.0
Malaria,vomiting,72.0
Malaria,vulvar_sore,9.0
Malaria,weakness,72.0
Malaria,wrist_weakness,9.0
Male genitalia infection,abnormal_appearing_skin,30.0
Male genitalia infection,bumps_on_penis,22.0
Male genitalia infection,groin_pain,13.0
Male genitalia infection,irritable_infant,13.0
Male genitalia infection,mass_in_scrotum,37.0
Male genitalia infection,pain_in_testicles,47.0
Male genitalia infection,penis_pain,22.0
Male genitalia infection,penis_redness,52.0
Male genitalia infection,skin_growth,30.0
Male genitalia infection,swelling_of_scrotum,52.0
Male genitalia infection,swollen_abdomen,13.0
Male genitalia infection,warts,13.0
Malignant hypertension,depressive_or_psychotic_symptoms,27.0
Malignant hypertension,dizziness,27.0
Malignant hypertension,focal_weakness,20.0
Malignant hypertension,headache,60.0
Malignant hypertension,insomnia,20.0
Malignant hypertension,loss_of_sensation,20.0
Malignant hypertension,lower_body_pain,11.0
Malignant hypertension,peripheral_edema,20.0
Malignant hypertension,seizures,27.0
Malignant hypertension,sharp_chest_pain,66.0
Malignant hypertension,shortness_of_breath,51.0
Malignant hypertension,vomiting,38.0
Marfan syndrome,ache_all_over,32.0
Marfan syndrome,anxiety_and_nervousness,32.0
Marfan syndrome,blood_in_stool,32.0
Marfan syndrome,depression,32.0
Marfan syndrome,emotional_symptoms,2.0
Marfan syndrome,focal_weakness,32.0
Marfan syndrome,heartburn,32.0
Marfan syndrome,increased_heart_rate,32.0
Marfan syndrome,itching_of_the_anus,32.0
Marfan syndrome,shoulder_pain,32.0
Marfan syndrome,skin_swelling,32.0
Marfan syndrome,stomach_bloating,32.0
Marijuana abuse,abusing_alcohol,56.0
Marijuana abuse,anxiety_and_nervousness,31.0
Marijuana abuse,delusions_or_hallucinations,11.0
Marijuana abuse,depression,34.0
Marijuana abuse,depressive_or_psychotic_symptoms,50.0
Marijuana abuse,difficulty_speaking,3.0
Marijuana abuse,drug_abuse,76.0
Marijuana abuse,excessive_anger,7.0
Marijuana abuse,fears_and_phobias,5.0
Marijuana abuse,hostile_behavior,14.0
Marijuana abuse,low_self_esteem,4.0
Marijuana abuse,temper_problems,6.0
Mastectomy,arm_stiffness_or_tightness,4.0
Mastectomy,burning_chest_pain,4.0
Mastectomy,hand_or_finger_stiffness_or_tightness,4.0
Mastectomy,heartburn,4.0
Mastectomy,leg_cramps_or_spasms,4.0
Mastectomy,lump_or_mass_of_breast,21.0
Mastectomy,pain_or_soreness_of_breast,21.0
Mastectomy,problems_with_shape_or_size_of_breast,8.0
Mastectomy,regurgitation,4.0
Mastectomy,skin_swelling,8.0
Mastectomy,smoking_problems,4.0
Mastectomy,swollen_lymph_nodes,4.0
Mastoiditis,cough,42.0
Mastoiditis,diminished_hearing,37.0
Mastoiditis,dizziness,49.0
Mastoiditis,ear_pain,84.0
Mastoiditis,facial_pain,26.0
Mastoiditis,fever,37.0
Mastoiditis,fluid_in_ear,42.0
Mastoiditis,headache,37.0
Mastoiditis,nasal_congestion,32.0
Mastoiditis,plugged_feeling_in_ear,32.0
Mastoiditis,redness_in_ear,42.0
Mastoiditis,ringing_in_ear,32.0
Meckel diverticulum,bedwetting,20.0
Meckel diverticulum,excessive_growth,20.0
Meckel diverticulum,eye_strain,20.0
Meckel diverticulum,joint_stiffness_or_tightness,20.0
Meckel diverticulum,knee_lump_or_mass,20.0
Meckel diverticulum,loss_of_sex_drive,20.0
Meckel diverticulum,lower_abdominal_pain,91.0
Meckel diverticulum,neck_cramps_or_spasms,20.0
Meckel diverticulum,pelvic_pressure,20.0
Meckel diverticulum,shoulder_swelling,20.0
Meckel diverticulum,upper_abdominal_pain,91.0
Meckel diverticulum,vulvar_sore,20.0
Melanoma,abnormal_appearing_skin,35.0
Melanoma,back_mass_or_lump,4.0
Melanoma,irregular_appearing_scalp,14.0
Melanoma,itchy_eyelid,2.0
Melanoma,skin_dryness_peeling_scaliness_or_roughness,4.0
Melanoma,skin_growth,10.0
Melanoma,skin_irritation,4.0
Melanoma,skin_lesion,41.0
Melanoma,skin_moles,16.0
Melanoma,skin_on_arm_or_hand_looks_infected,2.0
Melanoma,skin_swelling,12.0
Melanoma,swollen_lymph_nodes,4.0
Meniere disease,allergic_reaction,18.0
Meniere disease,bleeding_from_ear,10.0
Meniere disease,diminished_hearing,66.0
Meniere disease,dizziness,84.0
Meniere disease,ear_pain,36.0
Meniere disease,facial_pain,10.0
Meniere disease,headache,25.0
Meniere disease,heartburn,10.0
Meniere disease,impotence,10.0
Meniere disease,nausea,31.0
